ID,English_Text,Khmer_Text
1,"(Phnom Penh): On the Morning of Wednesday, 10 December 2024, at Hyatt Regency PhnomPenh, Her Excellency TAN Tepikanika, Under Secretary of State of the Ministry of Commerce, attended the Capacity Building for Piloting the ASEAN Handbook on Good Regulatory Practice-GRP on Electric Vehicle and Battery Industry in Cambodia which cooperated with Economic Research Institute for ASEAN and East Asia (ERIA).",(ភ្នំពេញ)៖ នាព្រឹកថ្ងៃពុធ ទី១១ ខែធ្នូ ឆ្នាំ២០២៤ នៅសណ្ឋាគា ហៃយ៉ាត់ រីជិនស៊ី ភ្នំពេញ លោកជំទាវ តាន់ ទេពីកណ្ណិកា អនុរដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញចូលរួមក្នុងកម្មវិធីបណ្ដុះបណ្តាលស្ដីអំពី “សៀវភៅរបស់អាស៊ានស្ដីពីការប្រតិបត្តិល្អនៃបទប្បញ្ញត្តិ ដោយសាកល្បងលើវិស័យរថយន្តអគ្គិសនី និងឧស្សាហកម្មអាគុយ” ដែលសហការជាមួយនឹងវិទ្យាស្ថានស្រាវជ្រាវសេដ្ឋកិច្ចអាស៊ាន និងអាស៊ីបូព៌ា។
3,"( Jakarta, Indonesia): On the afternoon of Monday, 9 December 2024, in Jakarta, Indonesia, Mr. KANN Viseth, Economic Attaché (AEC), accompanied His Excellency HENG Sarith, Ambassador/Permanent Representative of Cambodia to ASEAN, participated in the Inauguration of the RCEP Support Unit (RSU) Office, presided over by His Excellency Dr. KAO Kim Hourn, Secretary-General of ASEAN and His Excellency Dr. Budi Santoso, Minister of Trade of the Republic of Indonesia at ASEAN Secretariat.","(ហ្សាការតា, ឥណ្ឌូណេស៊ី)៖ នារសៀលថ្ងៃចន្ទ ទី៩ ខែធ្នូ ឆ្នាំ២០២៤ នៅទីក្រុងហ្សាការតា ប្រទេសឥណ្ឌូណេស៊ី លោក កាន់ វិសិដ្ឋ អនុព័ន្ធទទួលបន្ទុកការងារសេដ្ឋកិច្ច ចូលរួមអម ឯកឧត្តម ហេង សារិទ្ធ ឯកអគ្គរាជទូត/តំណាងអចិន្ត្រៃយ៍កម្ពុជាប្រចាំអាស៊ាន បានអញ្ជើញចូលរួមកម្មវិធីសម្ពោធការិយាល័យអង្គភាពគាំទ្រអាសិប (RSU Office) ក្រោមអធិតីភាព ឯកឧត្តម កៅ គឹមហួន អគ្គលេខាធិការអាស៊ាន និង ឯកឧត្តមបណ្ឌិត Budi Santoso រដ្ឋមន្រ្តីពាណិជ្ជកម្មឥណ្ឌូណេស៊ី នៅលេខាធិការដ្នានអាស៊ាន។"
4,This an official inauguration has participated by Ambassadors/Permanent Mission of ASEAN Member States to ASEAN and Ambassadors of ASEAN-RCEP as well as ASEAN Secretariat’s officers.,ពិធីសម្ពោធនេះ មានការអញ្ជើញចូលរួមពីសំណាក់ ឯកអគ្គរាជទូត/រដ្ឋទូត នៃស្ថានបេសកកម្មប្រទេសអាស៊ានប្រចាំទីក្រុងហ្សាការតា ឯកអគ្គរដ្ឋទូត នៃដៃគូអាស៊ានអាសិប និងមន្រ្តីតំណាងស្ថានបេសកកម្មអាស៊ាន ព្រមទាំងមន្រ្តីលេខាធិការអាស៊ានផងដែរ។
5,"This significant milestone marks the full operationalisation of the RSU, which will provide the necessary institutional support to the RCEP Joint Committee (RJC) and its subsidiary bodies, ensuring a more effective implementation of the RCEP agreement and fostering deeper regional cooperation.",ព្រឹត្តិការណ៍ដ៏សំខាន់នេះ បានបង្ហាញពីប្រតិបត្តិការពេញលេញនៃការិយាល័យអង្គភាពគាំទ្រអាសិប ដែលនឹងផ្តល់ការគាំទ្រចាំបាច់ដល់គណៈកម្មាធិការរួមអាសិប និងគាំទ្រដំណើរការរបស់ស្ថាប័ន ដោយធានាបាននូវការអនុវត្តកិច្ចព្រមព្រៀងអាសិប ព្រមទាំងជួយជំរុញកិច្ចសហប្រតិបត្តិការ ក្នុងតំបន់ឱ្យកាន់តែស៊ីជម្រៅ។
7,"(Phnom Penh): On the morning of Tuesday, 10 December 2024, His Excellency TAT Puthsodary, Secretary of State of the Ministry of Commerce, presided over the opening ceremony of a consultation workshop on “The Assessment and Roadmap Development for Green Trade Standards, Rules of Origin, and Double Transformation” co-organized by the Trade Training and Research Institute (TTRI) with the United Nations Development Programme (UNDP).",(ភ្នំពេញ)៖ នាព្រឹកថ្ងៃអង្គារ ទី១០ ខែធ្នូ ឆ្នាំ២០២៤ ឯកឧត្ដម តាត ពុធសូដារី រដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញជាអធិបតីក្នុងពិធីបើកសិក្ខាសាលាពិគ្រោះយោបល់ ស្តីពី “ការវាយតម្លៃ និងការអភិវឌ្ឍផែនទីបង្ហាញផ្លូវសម្រាប់ស្តង់ដាពាណិជ្ជកម្មបៃតង វិធានដើមកំណើតទំនិញ និងបរិវត្តកម្មទ្វេដង” ដែលសហការរៀបចំដោយវិទ្យាស្ថានបណ្ដុះបណ្ដាលពាណិជ្ជកម្ម និងស្រាវជ្រាវ ជាមួយកម្មវិធីអភិវឌ្ឍន៍សហប្រជាជាតិប្រចាំកម្ពុជា (UNDP)។
8,"There are 53 participants from relevant ministries, the private sector, and development partners, and the aim is to gather inputs from experts to build a roadmap for Cambodia to promote the implementation of sustainable green trade standards and EU rules of origin in order to boost Cambodia’s exports to the EU market, especially after Cambodia’s LDC graduation in 2029.",សិក្ខាសាលានេះ មានសិក្ខាកាមចូលរួមសរុបចំនួន ៥៣នាក់ មកពីក្រសួងពាក់ព័ន្ធ វិស័យឯកជន និងដៃគូអភិវឌ្ឍន៍ និងរៀបចំឡើងក្នុងគោលបំណងប្រមូលធាតុចូលពីអ្នកជំនាញ ដើម្បីរៀបចំការអភិវឌ្ឍផែនទីបង្ហាញផ្លូវសម្រាប់កម្ពុជាក្នុងការលើកកម្ពស់ការអនុវត្តស្តង់ដាពាណិជ្ជកម្មបៃតងប្រកបដោយចីរភាព និងវិធានដើមកំណើតទំនិញរបស់សហភាពអឺរ៉ុប ក្នុងការជំរុញការនាំចេញទំនិញពីកម្ពុជាទៅកាន់ទីផ្សារសហភាពអឺរ៉ុប ជាពិសេសគឺក្រោយពេលដែលកម្ពុជាចាកចេញពីប្រទេសអភិវឌ្ឍន៍តិចតួចនៅឆ្នាំ ២០២៩៕
9,"(Seoul, Korea): On Tuesday, 10 December 2024, Ms. NUON Phanith, Commercial Attaché to the Royal Embassy of the Kingdom of Cambodia to the Republic of Korea, attended a Trade and Investment Working Group meeting organized by the Trade and Investment Unit (TIU) at the ASEAN-Korea Centre (AKC).","(សេអ៊ូល, កូរ៉េ)៖ នាថ្ងៃអង្គារ ទី១០ ខែធ្នូ ឆ្នាំ២០២៤ លោកស្រី នួន ផានិត អនុព័ន្ធពាណិជ្ជកម្ម ប្រចាំសាធារណរដ្ឋកូរ៉េ បានចូលរួមកិច្ចប្រជុំក្រុមការងារពាណិជ្ជកម្ម និងវិនិយោគ ដែលរៀបចំដោយអង្គភាពផ្នែកពាណិជ្ជកម្ម និងវិនិយោគ នៅមជ្ឈមណ្ឌលអាស៊ាន-កូរ៉េ ។"
10,"On that occasion, the meeting exchanged views and discussed the 2024 outcomes, the plan for the 12th Connectivity Forum: ASEAN-Korea Centre (AKC) review of the ASEAN Connectivity project over the past 15 years, and directions for future Korea-ASEAN connectivity cooperation and strategy planning sessions, as well as priority 2025 programs among ASEAN countries.","ក្នុងឱកាសនោះ អង្គប្រជុំបានផ្លាស់ប្តូរយោបល់ ពិភាក្សា និងលើកឡើងអំពីសមិទ្ធិផលនៃការអនុវត្តសកម្មភាពឆ្នាំ២០២៤ នាពេលកន្លងមក, អំពីផែនការវេទិកាតភ្ជាប់លើកទី១២៖ ពិនិត្យឡើងវិញនូវសកម្មភាពរបស់មជ្ឈមណ្ឌលអាស៊ាន-កូរ៉េ លើគម្រោងតភ្ជាប់ជាមួយបណ្តាប្រទេសអាស៊ានក្នុងរយៈពេល ១៥ឆ្នាំកន្លងមក និងពិភាក្សាទិសដៅ ដែលប្រទេសកូរ៉េ និងប្រទេសអាស៊ានគួរតែសហការសម្រាប់កិច្ចសហប្រតិបត្តិការតភ្ជាប់វិស័យពាណិជ្ជកម្មនាពេលអនាគត ព្រមទាំងការរៀបចំផែនការយុទ្ធសាស្ត្រ និងការងារអាទិភាពប្រចាំឆ្នាំ២០២៥ របស់សហគមន៍សេដ្ឋកិច្ចអាស៊ាន។"
11,"(Phnom Penh): On the afternoon of Tuesday, 10 December 2024, at the Ministry of Commerce, His Excellency BUON Sarakmony, Secretary of State of the Ministry of Commerce and high representative of Her Excellency CHAM Nimul, Minister of Commerce, received a courtesy call from representatives of Cambodia Beverage Company Limited (Coca-Cola), the leading manufacturer and distributor of non-alcoholic beverages in Cambodia.",(ភ្នំពេញ)៖ នារសៀលថ្ងៃអង្គារ ទី១០ ខែធ្នូ ឆ្នាំ២០២៤ នៅទីស្ដីការក្រសួងពាណិជ្ជកម្ម ឯកឧត្តម បួន សារៈមុនី រដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម តំណាងដ៏ខ្ពង់ខ្ពស់លោកជំទាវ ចម និម្មល រដ្ឋមន្ដ្រីក្រសួងពាណិជ្ជកម្ម បានទទួលជួបសម្ដែងការគួរសម និងពិភាក្សាការងារជាមួយតំណាងក្រុមហ៊ុន Cambodia Beverage Company Limited (កូកា-កូឡា) ដែលជាក្រុមហ៊ុនផលិតនិងចែកចាយភេសជ្ជៈគ្មានជាតិស្រវឹងឈានមុខគេនៅកម្ពុជា។
12,"On that occasion, the representatives of Cambodia Beverage Company Limited (Coca-Cola) briefed on the company’s investment progress in Cambodia, promotion the consumption of local products, and introduced the new CEO, Mr. Paulo Gaspar Rodrigues, who has been assigned to hand over from the current CEO.",ក្នុងឱកាសនោះ ភាគីតំណាងក្រុមហ៊ុន Cambodia Beverage Company Limited (កូកា-កូឡា) ជម្រាបជូនអំពីវឌ្ឍនភាពនៃការវិនិយោគរបស់ក្រុមហ៊ុនកូកាកូឡានៅកម្ពុជា ការលើកកម្ពស់ការប្រើប្រាស់ផលិតផលក្នុងស្រុក និងបានណែនាំបេក្ខភាពអនាគតនាយកប្រតិបត្តិថ្មី គឺ លោក Paulo Gaspar Rodrigues ដែលត្រូវបានចាត់តាំងឱ្យមកបន្តវេនការងារ ពីលោកនាយកប្រតិបត្តិបច្ចុប្បន្ន។
