ID,English_Text,Khmer_Text
1,"(Miri, Sarawak, Malaysia): On Sunday, 5 January 2025, Mr. Vith Panhnha, Commercial Attaché, accompanied His Excellency Ouk Chandara, Cambodian Ambassador to Malaysia, in responding to the invitation of His Excellency YB Adam Yii Siew Sang, Mayor of Miri City, Sarawak, Malaysia. This was the second day of their visit to Miri City, Sarawak, Malaysia.","(MIRI, Sarawak, ម៉ាឡេស៊ី)៖ នាថ្ងៃអាទិត្យ ទី៥ ខែមករា ឆ្នាំ២០២៥ តបតាមការអញ្ជើញរបស់ ឯកឧត្តម YB ADAM YII SIEW SANG, អភិបាលក្រុង Miri នៃរដ្ឋ Sarawak ប្រទេសម៉ាឡេស៊ី លោក វ៉ិត បញ្ញា អនុព័ន្ធពាណិជ្ជកម្មអមស្ថានទូតកម្ពុជាប្រចាំប្រទេសម៉ាឡេស៊ី បានបន្តចូលរួមអម ឯកឧត្តម អ៊ុក ចាន់ដារ៉ា ឯកអគ្គរាជទូតកម្ពុជាប្រចាំប្រទេសម៉ាឡេស៊ី ក្នុងការបំពេញទស្សនកិច្ចនាថ្ងៃទី២នៃដំណើរទស្សនកិច្ច នៅទីក្រុង Miri នៃរដ្ឋ Sarawak ប្រទេសម៉ាឡេស៊ី។"
2,The main results of this visit are as follows:,លទ្ធផលសំខាន់ៗនៃការអញ្ជើញបំពេញទស្សនកិច្ចនេះ មានដូចខាងក្រោម៖
3,"- 1, a study visit to Curtin University, Miri, a renowned university with the same academic system as Curtin University, Australia. Graduates receive their degrees from Australia. Curtin University currently has a memorandum of understanding with the Institute of Technology of Cambodia for pre-university or foundation courses, and the university is exploring the possibility of investing in Cambodia's education sector and seeking to sign additional memoranda of understanding with other Cambodian universities.",ទី១ បំពេញទស្សនកិច្ចសិក្សានៅ Curtin University ដែលជាសាកលវិទ្យាល័យដ៏ល្បីមួយនៅក្នុងទីក្រុង MIRI ដែលមានប្រព័ន្ធសិក្សាដូច Curtin University នៅប្រទេសអូស្រ្តាលី ហើយនិស្សិតដែលបានបញ្ចប់ការសិក្សាត្រូវទៅទទួលសញ្ញាប័ត្រនៅប្រទេសអូស្រ្តាលី។ Curtin University បច្ចុប្បន្នបានចុះអនុស្សារណៈនៃការយោគយល់គ្នា ជាមួយវិទ្យាស្ថានបច្ចេកវិទ្យាកម្ពុជាផងដែរក្នុងកម្មវិធី Pre University ឬ Foundation Courses ហើយសាកលវិទ្យាល័យកំពុងសិក្សានិងពិនិត្យលទ្ធភាពក្នុងការវិនិយោគលើវិស័យអប់រំនៅកម្ពុជា និងស្វែងរកការចុះអនុស្សារណៈនៃការយោគយល់គ្នាបន្ថែមជាមួយនឹងសកលវិទ្យាល័យផ្សេងៗទៀតនៅកម្ពុជាផងដែរ។
4,"- 2, a visit to several important Miri locations, including the Handicraft Culture Centre, the Sarawak Unity Bridge (representing the solidarity and unification of Sarawak), public parks and infrastructure, the Petroleum Museum of Sarawak, and observation of the city's overall view and landscape.","-ទី២ បានបំពេញទស្សនកិច្ចសិក្សានៅទីកន្លែងសំខាន់ៗមួយចំនួននៅក្នុងទីក្រុង Miri រួមមានដូចជា Handicraft Culture Center, Sarawak Unity Bridge ដែលជាស្ពានតំណាងអោយការសាមគ្គីនិងការបង្រួបបង្រួមនៃរដ្ឋ Sarawak, សួនសាធារណៈនិងហេដ្ឋារចនាសម្ព័ន្ធនានានៃទីក្រុង Miri, សារមន្ទីរប្រេង នៃរដ្ឋ Sarawak (Petroleum Museum of Sarawak) និងបន្តការទស្សនាទិដ្ឋភាពរួមនិងទេសភាពនៃទីក្រុង MIRI ទាំងមូល។"
5,"(Tokyo, Japan): On the evening of Tuesday, 7 January 2025, Mr. SIN Saray, Commercial Attaché to the Cambodian Embassy in Japan, accompanied His Excellency TUY Ry, Ambassador of Cambodia to Japan, in paying a courtesy call to His Excellency MUTO Yoji, Minister of Economy, Trade and Industry of Japan (METI), Mr. YASUNAGA Tatsuo, Chairman of the Japan Foreign Trade Council, Inc. (JFTC), and Mr. ISHIGURO Norihiko, Chairman of the Japan External Trade Organization(JETRO), on the occasion of joining the JFTC New Year’s Reception, which was held under the chairmanship of His Excellency MUTO Yoji, Minister of Economy, Trade and Industry of Japan at the New Otani Hotel in Tokyo.","(តូក្យូ, ជប៉ុន)៖ នាល្ងាចថ្ងៃអង្គារ ទី០៧ ខែមករា ឆ្នាំ២០២៥ លោក ស៊ីន សារ៉ាយ អនុព័ន្ធពាណិជ្ជកម្មអមស្ថានទូតកម្ពុជាប្រចាំប្រទេសជប៉ុន បានចូលរួមអម ឯកឧត្តម ទុយ រី ឯកអគ្គរាជទូតកម្ពុជាប្រចាំប្រទេសជប៉ុន ជួបសម្តែងការគួរសមជាមួយ ឯកឧត្តម MUTO Yoji រដ្ឋមន្រ្តីក្រសួងសេដ្ឋកិច្ច ពាណិជ្ជកម្ម និងឧស្សាហកម្មជប៉ុន លោក YASUNAGA Tatsuo ប្រធានក្រុមប្រឹក្សាពាណិជ្ជកម្មបរទេសជប៉ុន JFTC និង លោក ISHIGURO Norihiko ប្រធានអង្គការ JETRO នៅក្នុងឱកាសអញ្ជើញចូលរួមកម្មវិធី JFTC New Year’s Reception ដែលប្រព្រឹត្តទៅក្រោមអធិបតីភាព ឯកឧត្តម MUTO Yoji រដ្ឋមន្រ្តីក្រសួងសេដ្ឋកិច្ច ពាណិជ្ជកម្ម និងឧស្សាហកម្មជប៉ុន (METI) នៅសណ្ឋាគារ New Otani ទីក្រុងតូក្យូ។"
6,"Taking this opportunity, the Commercial Attaché also met with Mr. YASUNAGA, Chairman of the JFTC, and Mr. ISHIGURO, Chairman of JETRO, as well as the Presidents and CEOs of several major Japanese investment companies, to establish business relations and encourage more Japanese investors to do business and invest in Cambodia.",ឆ្លៀតក្នុងឱកាសនោះ លោកអនុព័ន្ធពាណិជ្ជកម្ម ក៏បានជួបពិភាក្សាការងារជាមួយ លោក YASUNAGA ប្រធានក្រុមប្រឹក្សាពាណិជ្ជកម្ម JFTC និង លោក ISHIGURO ប្រធានអង្គការ JETRO ព្រមទាំងប្រធានក្រុមហ៊ុនវិនិយោគជប៉ុនធំៗមួយចំនួនទៀតផងដែរ ដើម្បីបង្កើតទំនាក់ទំនងធុរកិច្ច និងជំរុញអ្នកវិនិយោគជប៉ុន ឱ្យទៅធ្វើធុរកិច្ចពាណិជ្ជកម្ម និងវិនិយោគនៅប្រទេសកម្ពុជា កាន់តែច្រើនឡើងថែមទៀត។
7,"His Excellency KEM Sithan, Permanent Secretary of State of the Ministry of Commerce, chaired the weekly meeting of the Ministry of Commerce.",(ភ្នំពេញ)៖ នាព្រឹកថ្ងៃព្រហស្បតិ៍ ទី៩ ខែមករា ឆ្នាំ២០២៥ នៅទីស្ដីការក្រសួងពាណិជ្ជកម្ម ឯកឧត្តម កឹម ស៊ីថន រដ្ឋលេខាធិការប្រចាំការក្រសួងពាណិជ្ជកម្ម តំណាងដ៏ខ្ពង់ខ្ពស់របស់ លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញដឹកនាំកិច្ចប្រជុំប្រចាំសប្ដាហ៍របស់ក្រសួងពាណិជ្ជកម្ម ដែលមានវត្តមានចូលរួមពី ឯកឧត្តម លោកជំទាវ រដ្ឋលេខាធិការ អនុរដ្ឋលេខាធិការ អគ្គនាយក អគ្គាធិការ លោក-លោកស្រីអគ្គនាយករង អគ្គាធិការរង ប្រធាននាយកដ្ឋាន-វិទ្យាស្ថាន អនុប្រធាននាយកដ្ឋាន-វិទ្យាស្ថាន ប្រធាន និងអនុប្រធានមន្ទីរ ព្រមទាំងសាខា ក.ប.ប. រាជធានី-ខេត្តទាំងអស់ចំណុះឱ្យក្រសួងពាណិជ្ជកម្មផងដែរ។
8,"(Phnom Penh): On the morning of Thursday, 9 January 2025, at the Ministry of Commerce, His Excellency KEM Sithan, Permanent Secretary of State of the Ministry of Commerce and High Representative of Her Excellency CHAM Nimul, Minister of Commerce, chaired the weekly meeting attended by the Ministry's leaders, director-general, department directors, provincial department directors, and other officials.",កិច្ចប្រជុំប្រចាំសប្ដាហ៍នេះ បានប្រព្រឹត្តទៅក្រោមរបៀបវារៈរួមមាន៖
9,The weekly meeting covered the following agenda items:,១. របាយការណ៍សង្ខេបរបស់អគ្គនាយកដ្ឋានរដ្ឋបាល និងហិរញ្ញវត្ថុ
10,1. Brief report of General Directorate of Administration and Finance,២. របាយការណ៍សង្ខេបរបស់អគ្គនាយកដ្ឋានពាណិជ្ជកម្មក្នុងប្រទេស
11,2. General Directorate of Domestic Trade,៣. របាយការណ៍សង្ខេបរបស់អគ្គនាយកដ្ឋានពាណិជ្ជកម្មអន្ដរជាតិ
12,3. General Directorate of International Trade,៤. របាយការណ៍សង្ខេបរបស់អគ្គនាយកដ្ឋានសេវាពាណិជ្ជកម្ម
13,4. General Directorate of Business Services,៥. របាយការណ៍សង្ខេបរបស់អគ្គនាយកដ្ឋានជំរុញពាណិជ្ជកម្ម
14,5. General Directorate of Trade Promotion,៦. របាយការណ៍សង្ខេបរបស់អគ្គនាយកដ្ឋាន ការពារអ្នកប្រើប្រាស់ កិច្ចការប្រកួតប្រជែង និងបង្រ្កាបការក្លែងបន្លំ (ក.ប.ប.)
15,"6. General Directorate of Consumer Protection, Competition, and Fraud Repression (CCF)",៧. របាយការណ៍សង្ខេបរបស់ក្រុមហ៊ុនហ្គ្រីនត្រេដ
16,7. Green Trade Company,៨. របាយការណ៍របស់មន្ទីរពាណិជ្ជកម្មខេត្តកណ្តាល
17,8. Brief report of the Kandal Provincial Department of Commerce,៩. របាយការណ៍របស់មន្ទីរពាណិជ្ជកម្មរាជធានីភ្នំពេញ
