1,"His Excellency KEM Sithan, Acting Minister of the Ministry of Commerce, chaired a monthly meeting of the Ministry of Commerce.",,
2,"(Phnom Penh): On the morning of Thursday, 26 December 2024, at the Ministry of Commerce, His Excellency KEM Sithan, Acting Minister of Commerce and High Representative of Her Excellency CHAM Nimul, Minister of Commerce, chaired the monthly meeting attended by the Ministry's leaders, including the Secretary of State, Under Secretary of State, Director General, Directors of Departments, Directors of Provincial Departments, and other officials.",(ភ្នំពេញ)៖ នាព្រឹកថ្ងៃព្រហស្បតិ៍ ទី ២៦ ខែធ្នូ ឆ្នាំ ២០២៤ នៅទីស្ដីការក្រសួងពាណិជ្ជកម្ម ឯកឧត្តម កឹម ស៊ីថន រដ្ឋមន្ត្រីស្ដីទីក្រសួងពាណិជ្ជកម្ម តំណាងដ៏ខ្ពង់ខ្ពស់របស់ លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញដឹកនាំកិច្ចប្រជុំប្រចាំខែរបស់ក្រសួងពាណិជ្ជកម្ម ដែលមានវត្តមានចូលរួមពី ឯកឧត្តម លោកជំទាវរដ្ឋលេខាធិការ ឯកឧត្តម លោកជំទាវអនុរដ្ឋលេខាធិការ ឯកឧត្តមអគ្គនាយក លោកជំទាវអគ្គាធិការ លោក-លោកស្រីអគ្គនាយករង លោក-លោកស្រីអគ្គាធិការរង លោកប្រធាននាយកដ្ឋាន-វិទ្យាស្ថាន លោក-លោកស្រីអនុប្រធាននាយកដ្ឋាន-វិទ្យាស្ថាន លោក-លោកស្រីប្រធាន និងអនុប្រធានមន្ទីរ និងសាខា ក.ប.ប. រាជធានី-ខេត្តទាំងអស់ចំណុះឱ្យក្រសួងពាណិជ្ជកម្មផងដែរ។,
3,"The monthly meeting was held at the Ministry of Commerce and via video conference, covering the following agenda:", កិច្ចប្រជុំប្រចាំខែនេះ បានប្រព្រឹត្តទៅក្រោមរបៀបវារៈរួមមាន៖ ,
4,1. A brief report on the evaluation of the working results of the Committee for the Ministry of Commerce's Annual Report 2024 and the Ministry's working directions for 2025.,១. របាយការណ៍ស្ដីពីការវាយតម្លៃលទ្ធផលការងាររបស់គណៈកម្មាធិការរៀបចំដំណើរការសន្និបាតបូកសរុបការងារពាណិជ្ជកម្មឆ្នាំ ២០២៤ និងទិសដៅការងារពាណិជ្ជកម្មឆ្នាំ ២០២៥ ,
5,2. A brief report on the preparation of the report format for the Capital Provincial Department of Commerce.,២. របាយការណ៍ស្តីពីការរៀបចំគំរូរបាយការណ៍របស់មន្ទីរពាណិជ្ជកម្មរាជធានី-ខេត្ត ,
6,3. A brief report on the preparation of the report format for the Commercial Attaché.,៣. របាយការណ៍ស្តីពីការរៀបចំគំរូរបាយការណ៍របស់តំណាងពាណិជ្ជកម្មប្រចាំនៅក្រៅប្រទេស ,
7,4. A brief report on human resource management for contract officials at the Ministry of Commerce for 2025.,៤. របាយការណ៍ស្តីពីវឌ្ឍនភាពការរៀបចំឯកសារសម្រាប់ដំឡើងថ្នាក់ និងឋានន្តរស័ក្តិ ជូនមន្ត្រីរាជការស៊ីវិលសម្រាប់ឆ្នាំ ២០២៥ ,
8,5. A brief report on the evaluation of the working results of the Committee for the Ministry of Commerce's Annual Report 2024 and its working directions for 2025.,៥. របាយការណ៍ស្តីពីការគ្រប់គ្រង និងការប្រើប្រាស់មន្ត្រីជាប់កិច្ចសន្យារបស់ក្រសួងពាណិជ្ជកម្មសម្រាប់ឆ្នាំ ២០២៥ ,
9,"6. A brief report on the preparation of the Ministry of Commerce's Annual Report 2024 (12 months) by the General Directorate, General Inspectorate, and Green Trade Company.",៦. របាយការណ៍ស្តីពីការត្រៀមរៀបចំបច្ចុប្បន្នភាពរបាយការណ៍ប្រចាំឆ្នាំ (សរុប ១២ ខែ) របស់អគ្គនាយកដ្ឋានអគ្គាធិការដ្ឋាន និងក្រុមហ៊ុនហ្គ្រីនត្រេដ ,
10,7. Other matters.,៧. បញ្ហាផ្សេងៗ។,
