ID,English_Text,Khmer_Text
1,Her Excellency SEREI Borapich led a consultation meeting on the preparation of the draft of Gender Mainstreaming Strategic Plan of the Ministry of Commerce (2024-2028),(ភ្នំពេញ)៖ នារសៀលថ្ងៃពុធ ទី៥ ខែកុម្ភៈ ឆ្នាំ២០២៥ នៅទីស្តីការក្រសួងពាណិជ្ជកម្ម លោកជំទាវ សេរី បូរាពេជ្រ រដ្ឋលេខាធិការ និងជាប្រធានក្រុមការងារយេនឌ័រក្រសួងពាណិជ្ជកម្ម បានដឹកនាំកិច្ចប្រជុំពិគ្រោះយោបល់លើការរៀបចំសេចក្តីព្រាងផែនការយុទ្ធសាស្រ្តបញ្ជ្រាបយេនឌ័ររបស់ក្រសួងពាណិជ្ជកម្ម (២០២៤-២០២៨) ដែលមានការអញ្ជើញចូលរួមពី លោកជំទាវរដ្ឋលេខាធិការ និង អនុរដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម លោក-លោកស្រីអគ្គនាយករង តំណាងពីនាយកដ្ឋានចំណុះក្រសួងពាណិជ្ជកម្ម និងតំណាងពីបណ្តាមន្ទីរពាណិជ្ជកម្មរាជធានី-ខេត្តទាំង២៥ ជាច្រើនរូប។
2,"(Phnom Penh): On the morning of Wednesday, 5 February 2025, at the Ministry of Commerce, Her Excellency SEREI Borapich, Secretary of State and Chair of the Gender Working Group of the Ministry of Commerce, led a consultation meeting on the preparation of the draft of Gender Mainstreaming Strategic Plan of the Ministry of Commerce (2024-2028). The event was attended by the Secretary of State, Undersecretary of State, Deputy Director-Generals, representatives from departments under the Ministry of Commerce, and representatives of all departments of commerce and the 25 provincial departments of Commerce.",ក្នុងកិច្ចប្រជុំនេះ ធ្វើឡើងដោយផ្ទាល់ និងតាមរយៈប្រព័ន្ធអនឡាញ ក្នុងគោលបំណងពិភាក្សាអំពីខ្លឹមសារនៃសេចក្តីព្រាងផែនការយុទ្ធសាស្ត្របញ្ជ្រាបយេនឌ័ររបស់ក្រសួងពាណិជ្ជកម្មដើម្បីស្វែងយល់អំពីខ្លឹមសារសំខាន់ៗ និងទទួលយកនូវមតិយោបល់បំពេញបន្ថែមឱ្យបានគ្រប់ជ្រុងជ្រោយមុនពេលដាក់សម្ពោធឱ្យប្រើប្រាស់ជាផ្លូវការនៅក្នុងការប្រារព្ធទិវាអន្តរជាតិនារី ៨មីនា ខួបទី១១៤ នាខាងមុខនេះ។
3,The meeting was held via physical and online to discussed the substaintive meaning of the draft of Gender Mainstreaming Strategic Plan of the Ministry of Commerce to understand the main contents and accept all complementary comments before the official launch during the celebration of 114th Anniversary of International Women's Day 8 March.,ក្នុងឱកាសនោះ លោកជំទាវ គង់ សិទ្ធិកា អនុរដ្ឋលេខាធិការ និងជាប្រធានលេខាធិការដ្ឋាននៃក្រុមការងារយេនឌ័ររបស់ក្រសួងពាណិជ្ជកម្ម ក៏បានធ្វើបទបង្ហាញស្តីពី សេចក្តីព្រាងផែនការយុទ្ធសាស្រ្តបញ្ជ្រាបយេនឌ័ររបស់ក្រសួងពាណិជ្ជកម្ម(២០២៤-២០២៨) ផងដែរ។
4,"On that occasion, Her Excellency KONG Sedhika , Under Secretary of State and Head of the Secretariat of the Gender Working Group of the Ministry of Commerce, also made a presentation on the draft of Gender Mainstreaming Strategic Plan of the Ministry of Commerce (2024-2028).",
5,"(Riyadh, Saudi Arabia): On the morning of Wednesday, 5 February 2025, at Riyadh, Saudi Arabia, Her Excellency CHAM Nimul, Minister of Commerce, led a Cambodian delegation to attend a bilateral meeting with Mr. Bader Alrebdi, Vice President of Export Environment and Committees Secretariat, during the official visit to the Kingdom of Saudi Arabia.","(រាជធានីរីយ៉ាដ, ប្រទេសអារ៉ាប៊ីសាអូឌីត) ៖ នាព្រឹកថ្ងៃពុធ ទី៥ ខែកុម្ភៈ ឆ្នាំ២០២៥ នៅទីក្រុងរីយ៉ាដ ព្រះរាជាណាចក្រអារ៉ាប៊ីសាអូឌីត លោកជំទាវ ចម និម្មល រដ្ឋមន្ដ្រីក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញដឹកនាំគណៈប្រតិភូកម្ពុជា ជួបពិភាក្សាការងារទ្វេភាគីជាមួយលោក Bader Alrebdi អនុប្រធាននៃលេខាធិការដ្ឋានគណៈកម្មាធិការនាំចេញ នៃអាជ្ញាធរទទួលបន្ទុកការអភិវឌ្ឍការនាំចេញរបស់អារ៉ាប៊ីសាអូឌីត ក្នុងឱកាសបំពេញទស្សនកិច្ចផ្លូវការនៅព្រះរាជាណាចក្រអារ៉ាប៊ីសាអូឌីត។"
6,"The two sides exchanged experiences and discussed ways to strengthen bilateral cooperation on exports promotion strategy, and the establishment of potential industrial zones between the two countries.",ក្នុងជំនួបនេះ ភាគីទាំងពីរបានផ្លាស់ប្តូរបទពិសោធន៍ និងពិភាក្សាពីការពង្រឹងកិច្ចសហប្រតិបត្តិការលើការរៀបចំយុទ្ធសាស្រ្តជំរុញការនាំចេញផលិតផល សេវាកម្ម និងការរៀបចំតំបន់ឧស្សាហកម្មសក្តានុពល រវាងប្រទេសទាំងពីរ។
7,"(Riyadh, Saudi Arabia): On the morning of Wednesday, 5 February 2025, at Riyadh, Saudi Arabia, Her Excellency CHAM Nimul, Minister of Commerce, led a Cambodian delegation to attend a bilateral meeting with His Excellency Dr. Hisham bin Saad Aljadhey, Chief Executive Officer (CEO) of the Saudi Food and Drug Authority, during the official visit to the Kingdom of Saudi Arabia.","(រាជធានីរីយ៉ាដ, ប្រទេសអារ៉ាប៊ីសាអូឌីត)៖ នាព្រឹកថ្ងៃពុធ ទី៥ ខែកុម្ភៈ ឆ្នាំ២០២៥ នៅទីក្រុងរីយ៉ាដ ព្រះរាជាណាចក្រអារ៉ាប៊ីសាអូឌីត លោកជំទាវ ចម និម្មល រដ្ឋមន្ដ្រីក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញដឹកនាំគណៈប្រតិភូកម្ពុជា ជួបពិភាក្សាការងារទ្វេភាគីជាមួយឯកឧត្តមបណ្ឌិត Hisham bin Saad Aljadhey នាយកប្រតិបត្តិនៃអាជ្ញាធរចំណីអាហារ និងឱសថរបស់អារ៉ាប៊ីសាអូឌីត (Saudi Food and Drug Authority) ក្នុងឱកាសបំពេញទស្សនកិច្ចផ្លូវការនៅព្រះរាជាណាចក្រអារ៉ាប៊ីសាអូឌីត។"
8,"The two sides discussed the strengthening of cooperation in the safety and standards of food, medicine and consumer goods. Her Excellency Minister also encouraged the Saudi side to consider investing in halal products for exports.",ក្នុងជំនួបនេះ ភាគីទាំងពីរបានពិភាក្សាពីការពង្រឹងកិច្ចសហប្រតិបត្តិការលើវិស័យសុវត្ថិភាព និងស្តង់ដារម្ហូបអាហារ ឱសថ និងរបស់ប្រើប្រាស់។ ក្នុងនោះដែរ លោកជំទាវរដ្ឋមន្ត្រី ក៏បានលើកទឹកចិត្តភាគីអារ៉ាប៊ីសាអូឌីត ឱ្យពិចារណាលើការវិនិយោគកែឆ្នៃផលិតផលហាឡាល់ សម្រាប់ការនាំចេញ។
9,"His Excellency BUON Sarakmony, Secretary of State of the Ministry of Commerce, presided over the signing ceremony of a Memorandum of Understanding between the Ministry of Commerce and ABA Bank regarding the cooperation on a strategic partnership and the introduction of online payment for the Secured Transaction Filing Office (SETFO).",(ភ្នំពេញ)៖ នាព្រឹកថ្ងៃចន្ទ ទី៣ ខែកុម្ភៈ ឆ្នាំ២០២៥ នៅទីស្តីការក្រសួងពាណិជ្ជកម្ម ឯកឧត្តម បួន សារៈមុនី រដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម តំណាងដ៏ខ្ពង់ខ្ពស់របស់ លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញជាអធិបតីភាពក្នុងពិធីចុះអនុស្សរណៈនៃការយោគយល់គ្នាស្តីពី កិច្ចសហប្រតិបត្តិការលើភាពជាដៃគូយុទ្ធសាស្ត្រ រវាងក្រសួងពាណិជ្ជកម្ម និងធនាគារ វឌ្ឍនៈអាស៊ី ចំកាត់ (ABA Bank) និងការដាក់ឱ្យប្រើប្រាស់ការទូទាត់ប្រាក់តាមប្រព័ន្ធអនឡាញ សម្រាប់ប្រព័ន្ធតម្កល់លិខិតជូនដំណឹងនៃប្រតិបត្តិការដែលមានកិច្ចធានា (SETFO) ដោយមានការចូលរួមពី ថ្នាក់ដឹកនាំ និងមន្ត្រីពាក់ព័ន្ធរបស់ក្រសួងពាណិជ្ជកម្ម ព្រមទាំងថ្នាក់ដឹកនាំធនាគារ ABA ជាច្រើនរូប។
10,"(Phnom Penh): On the morning of Monday, 3 February 2025, at the Ministry of Commerce, His Excellency BUON Sarakmony, Secretary of State of the Ministry of Commerce and high representative of Her Excellency CHAM Nimul, Minister of Commerce, presided over the signing ceremony of a Memorandum of Understanding between the Ministry of Commerce and ABA Bank regarding the Cooperation on Strategic Partnership, and also the introduction of online payment for the Secured Transaction Filing Office (SETFO) with the presence of relevant leaders and officials of the Ministry of Commerce as well as leaders of ABA Bank.",អនុស្សរណៈនេះ មានគោលបំណងជំរុញ និងផ្ដល់ការគាំទ្រក្នុងរូបភាពផ្សេងៗនូវសហប្រតិបត្តិការលើភាពជាដៃគូយុទ្ធសាស្រ្ត ដើម្បីចូលរួមលើកកម្ពស់ការអភិវឌ្ឍវិស័យបច្ចេកវិទ្យាហិរញ្ញវត្ថុនៅកម្ពុជាឱ្យកាន់តែរស់រវើក និងស្របតាមគោលនយោបាយ និងនិន្នាការជាតិ។
