ID,English_Text,Khmer_Text
1,"(Phnom Penh): On the morning of Wednesday, 29 January 2025, His Excellency SAMHENG Bora, Secretary of State of the Ministry of Commerce and Chairman of the Export Promotion Task Force, held a productive meeting with Mr. Akira SASAKI, Managing Director of Inoue Calcium Corporation.",(ភ្នំពេញ)៖ នាព្រឹកថ្ងៃពុធ ទី២៩ ខែមករា ឆ្នាំ២០២៥ ឯកឧត្តម សំហេង បូរ៉ា រដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម និងជាប្រធានក្រុមការងារជំរុញការនាំចេញ បានទទួលជួបពិភាក្សាការងារជាមួយ លោក Akira SASAKI នាយកគ្រប់គ្រងក្រុមហ៊ុន Inoue Calcium Corporation។
2,"The meeting was attended by His Excellency Secretary of State, His Excellency Under Secretary of State, Mr. Vu Van MANH, President and CEO of BMC Group, and Mrs. MUTH Chakrya Founder and Chairwoman of Handcrafted Cashew Nuts Stung Treng.",កិច្ចប្រជុំនេះមានការចូលរួមពី ឯកឧត្ដមរដ្ឋលេខាធិការ ឯកឧត្ដមអនុរដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម លោក Vu Van MANH ប្រធាននិងនាយកប្រតិបត្តិក្រុមហ៊ុន BMC Group ប្រទេសវៀតណាម និង លោកស្រី មុត ចរិយា ស្ថាបនិក និងអគ្គនាយិកា សិប្បកម្មហ៊ែនក្រាហ្វធីត ឃែស៊ូ ណាត់ ស្ទឹងត្រែង។
3,"The discussions centered on expanding the export potential of Cambodian processed cashew nuts and pepper to the Japanese market while exploring investment opportunities in Cambodia’s agro-processing sector. His Excellency Secretary of State reaffirmed the Export Promotion Task Force’s dedication to strengthening the competitiveness of Cambodian agricultural products by upholding high processing standards, fostering innovation, and ensuring compliance with Japanese market requirements. This collaboration aligns with Cambodia’s broader strategy to diversify export markets and attract foreign investment, ultimately enhancing the agricultural value chain.",កិច្ចពិភាក្សានេះផ្តោតសំខាន់លើ ការជំរុញសក្តានុពលនាំចេញគ្រាប់ស្វាយចន្ទីកែច្នៃ និងម្រេចកម្ពុជាទៅកាន់ទីផ្សារជប៉ុន និងការសិក្សាឱកាសវិនិយោគក្នុងវិស័យកែច្នៃកសិផលនៅកម្ពុជា ក្នុងការលើកកម្ពស់ការប្រកួតប្រជែងនៃផលិតផលកសិកម្មកម្ពុជា ដោយធានាស្តង់ដារខ្ពស់ក្នុងការកែច្នៃ និងការពង្រីកទីផ្សារ លើកកម្ពស់សក្ដានុពលនៃការច្នៃប្រឌិត និងអនុលោមភាពនៃស្តង់ដារទីផ្សារជប៉ុន។
5,"(Phnom Penh): On the afternoon of Thursday, 30 January 2025, at the Ministry of Commerce, Her Excellency CHAM Nimul, Minister of Commerce, chaired the monthly meeting of January 2025 of the Ministry of Commerce. The meeting was attended by the ministry's leaders and relevant officials.",(ភ្នំពេញ)៖ នារសៀលថ្ងៃព្រហស្បតិ៍ ទី៣០ ខែមករា ឆ្នាំ២០២៥ នៅទីស្តីការក្រសួងពាណិជ្ជកម្ម លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញជាអធិបតីដឹកនាំកិច្ចប្រជុំប្រចាំខែមករា ឆ្នាំ២០២៥ របស់ក្រសួងពាណិជ្ជកម្ម ដែលមានវត្តមានអញ្ជើញចូលរួមពី ឯកឧត្តម លោកជំទាវ រដ្ឋលេខាធិការ អនុរដ្ឋលេខាធិការ ឯកឧត្តមអគ្គនាយក លោកជំទាវអគ្គាធិការ លោក-លោកស្រីអគ្គនាយករង អគ្គាធិការរង ប្រធាននាយកដ្ឋាន-វិទ្យាស្ថាន អនុប្រធាននាយកដ្ឋាន-វិទ្យាស្ថាន ប្រធាន និងអនុប្រធានមន្ទីរ ព្រមទាំងសាខា ក.ប.ប. រាជធានី-ខេត្តទាំងអស់ចំណុះឱ្យក្រសួងពាណិជ្ជកម្ម តំណាងពាណិជ្ជកម្មប្រចាំតំបន់រដ្ឋបាលសេដ្ឋកិច្ចពិសេស តំណាងពាណិជ្ជកម្មប្រចាំនៅបរទេស និងទីប្រឹក្សាទាំងអស់ចំណុះឱ្យក្រសួងពាណិជ្ជកម្មផងដែរ។
6,"The monthly meeting was held at the Ministry of Commerce and, via video conference, covered the following agendas:",កិច្ចប្រជុំប្រចាំខែនេះ ត្រូវបានរៀបចំឡើងដោយផ្ទាល់ និងតាមប្រព័ន្ធអនឡាញ ក្រោមរបៀបវារៈរួមមាន៖
7,1. Brief report on the work progress of:,១. របាយការណ៍វឌ្ឍនភាពការងារស្តីពី៖
8,- The meeting on the preparation of a plan for coordinating the prices of cassava and cashew agricultural products for 2025,- កិច្ចប្រជុំស្ដីពីការរៀបចំផែនការសម្របសម្រួលថ្លៃកសិផលដំឡូងមី និងស្វាយចន្ទីសម្រាប់ឆ្នាំ២០២៥
9,- The situation of rice and Pailin longan (Tangen),- ស្ថានភាពស្រូវអង្ករ និងមៀនប៉ៃលិន (តាង៉ែន)
10,2. Brief report on the work progress of the Export Promotion Task Force,២. របាយការណ៍វឌ្ឍនភាពការងាររបស់ក្រុមការងារជំរុញការនាំចេញ
11,3. Brief report on the work progress of:,៣. របាយការណ៍វឌ្ឍនភាពការងារស្ដីពី៖
