ID,English_Text,Khmer_Text
1,Cambodian Commercial Attaché to the Republic of Türkiye Coordinates the Organization of the Cambodia-Turkey Business Forum,
2,"(Ankara, Türkiye): On Thursday, 12 December 2024, at the Ankara Chamber of Industry headquarters in Ankara, Mr. Keo Buntheng, Commercial Attaché to the Republic of Türkiye, coordinated the organization of the Cambodia-Turkey Business Forum, co-organized by the Cambodian Chamber of Commerce, the Ankara Chamber of Industry, and the Turkish Foreign Economic Relations Board (DEİK).","(អង់ការ៉ា តួកគីយ៉េ)៖ នាថ្ងៃព្រហស្បតិ៍ ទី១២ ខែធ្នូ ឆ្នាំ២០២៤ នៅទីស្នាក់ការសភាឧស្សាហកម្មអង់ការ៉ា (Ankara Chamber of Industry) ទីក្រុងអង់ការ៉ា សាធារណរដ្ឋតួកគីយ៉េ លោក កែវ ប៊ុនថេង អនុព័ន្ធពាណិជ្ជកម្ម ប្រចាំសាធារណរដ្ឋតួកគីយ៉េ បានសម្របសម្រួលរៀបចំនូវវេទិកាធុរកិច្ចកម្ពុជា-តួកគីយ៉េ ដែលសហការរៀបចំដោយសភាពាណិជ្ជកម្មកម្ពុជា សភាពាណិជ្ជឧស្សាហកម្ម និងគណៈកម្មាធិការទំនាក់ទំនងសេដ្ឋកិច្ចបរទេសតួកគីយ៉េ (DEiK)។" 
3,"The forum was attended by Oknha KUOCH Pheng, Vice President of the Cambodian Chamber of Commerce; representatives of Oknha KITH Meng, President of the Cambodian Chamber of Commerce and Chairman of the ASEAN Business Advisory Council for Cambodia; and representatives of 18 Turkish companies and 6 Cambodian companies.",វេទិកានេះ មានការអញ្ជើញចូលរួមពី ឧកញ៉ា គួច ផេង អនុប្រធានសភាពាណិជ្ជកម្មកម្ពុជា តំណាង អ្នកឧកញ៉ា គិត ម៉េង ប្រធានសភាពាណិជ្ជកម្មកម្ពុជា និងជាប្រធានក្រុមប្រឹក្សាពិគ្រោះយោបល់ធុរកិច្ចអាស៊ានសម្រាប់កម្ពុជា ព្រមទាំងតំណាងក្រុមហ៊ុនតួកគីយ៉េ ចំនួន១៨ និងក្រុមហ៊ុនកម្ពុជា ចំនួន៦ ផងដែរ។ 
4,The business forum aimed to share information about the potential for trade and investment between the two countries and to provide Cambodian and Turkish businesspeople with opportunities to explore investment partnerships and collaborations.,វេទិកាធុរកិច្ចកម្ពុជា-តួកគីយ៉េ ត្រូវបានរៀបចំឡើងដើម្បីចែករំលែកព័ត៌មានអំពីសក្តានុពលនៃពាណិជ្ជកម្មនិងការវិនិយោគរបស់ប្រទេសទាំងពីរ និងផ្តល់ឱកាសដល់ធុរជនកម្ពុជានិងតួកគីយ៉េ ស្វែងរកឱកាសក្នុងការចាប់ដៃគូរវិនិយោគនិងធ្វើធុរកិច្ចរួមគ្នា។
5,"Also at the forum, the Cambodian Chamber of Commerce and the Ankara Chamber of Industry signed a memorandum of understanding to strengthen cooperation in promoting trade and investment. In addition, the Cambodian Chamber of Commerce delegation and the Commercial Attaché visited Ankara's 1st Organized Industrial Zone to study the operations of four factories: a furniture factory, an excavator assembly factory, a frozen food factory, and a model human resource training center.",ក្នុងឱកាសនោះ សភាពាណិជ្ជកម្មកម្ពុជា និងសភាឧស្សាហកម្មអង់ការ៉ា បានចុះនូវអនុស្សរណៈនៃការយោគយល់គ្នា ដើម្បីពង្រឹងនូវកិច្ចសហប្រតិបត្តិការរវាងស្ថាប័នទាំងពីរក្នុងការជំរុញពាណិជ្ជកម្មនិងការវិនិយោគ។ ជាងនេះទៅទៀត គណៈប្រតិភូសភាពាណិជ្ជកម្មកម្ពុជា និងលោកអនុព័ន្ធពាណិជ្ជកម្ម បានធ្វើទស្សនកិច្ចទៅកាន់តំបន់ឧស្សាហកម្មទី១ ទីក្រុងអង់ការ៉ា ដើម្បីសិក្សាស្វែងយល់អំពីដំណើរការរោងចក្រចំនួន៤ រួមមាន៖ រោងចក្រផលិតគ្រឿងសង្ហារឹម រោងចក្រតំឡើង Excavator រោងចក្រផលិតចំណីអាហារបង្កក និងមជ្ឈមណ្ឌលគំរូសម្រាប់បណ្តុះបណ្តាលធនធានមនុស្ស។
6,"(Kuala Lumpur, Malaysia): On the afternoon of Tuesday, 17 December 2024, at the Senate House in Kuala Lumpur, Malaysia, Mr. VITH Panhnha, Commercial Attaché, accompanied His Excellency OUK Chandara, Ambassador of Cambodia to Malaysia, and Malaysian investors from Sarawak and Sabah, to a working lunch with HON. Senator Dato Awang Bemee bin Awang Ali Basah, Malaysian Senate President.","(គូឡាឡាំពួរ, ម៉ាឡេស៊ី)៖ នារសៀលថ្ងៃអង្គារ ទី១៧ ខែធ្នូ ឆ្នាំ២០២៤ នៅវិមានព្រឹទ្ធសភា ទីក្រុងគូឡាឡាំពួរ ប្រទេសម៉ាឡេស៊ី លោក វ៉ិត បញ្ញា អនុព័ន្ធពាណិជ្ជកម្ម អមស្ថានទូតកម្ពុជាប្រចាំប្រទេសម៉ាឡេស៊ី បានចូលរួមអម ឯកឧត្តម អ៊ុក ចាន់ដារ៉ា ឯកអគ្គរាជទូតកម្ពុជាប្រចាំប្រទេសម៉ាឡេស៊ី រួមជាមួយវិនិយោគគិនម៉ាឡេស៊ីមកពីរដ្ឋ Sarawak និងរដ្ឋ Sabah ចូលរួមទទួលទានអាហារការងារថ្ងៃត្រង់ជាមួយ ឯកឧត្តម HON. Senator Dato Awang Bemee Bin Awang Ali Basah ប្រធានព្រឹទ្ធសភាម៉ាឡេស៊ី ។"
7,"During the meeting, the Senate President expressed support for investment in Cambodia's rice milling sector and the launch of direct flights from Sarawak to Phnom Penh.",ក្នុងឱកាសនោះ ឯកឧត្តមប្រធានព្រឹទ្ធសភា បានបង្ហាញពីការគាំទ្រចំពោះការវិនិយោគលើវិស័យម៉ាស៊ីនកិនស្រូវនៅកម្ពុជា និងការបើកជើងហោះហើរផ្ទាល់ពីរដ្ឋ Sarawak មកកាន់រាជធានីភ្នំពេញ។
8,"He Excellency Senate President also encouraged Malaysian investors to explore increased investment in Cambodia's trade, agro-industry, energy, education, health, and tourism sectors, and to explore opportunities to enhance closer relations between cities in Sarawak and Sabah and cities or provinces in Cambodia to increase economic volume, investment, trade, tourism, cultural exchange, and educational collaboration.",ជាមួយគ្នានេះ ឯកឧត្តមប្រធានព្រឹទ្ធសភា បានជំរុញវិនិយោគិនម៉ាឡេស៊ី ពិនិត្យលទ្ធភាពក្នុងការបង្កើនការវិនិយោគនៅកម្ពុជាលើវិស័យពាណិជ្ជកម្ម កសិ-ឧស្សាហកម្ម ថាមពល អប់រំ សុខាភិបាល និងទេសចរណ៍ ព្រមទាំងមានបំណងចង់ឱ្យមានកិច្ចសហប្រតិបត្តិការឱ្យកាន់តែជិតស្និតរវាងទីក្រុងណាមួយនៃរដ្ឋ Sarawak និង Sabah របស់ប្រទេសម៉ាឡេស៊ី ជាមួយទីក្រុងនិងខេត្តណាមួយរបស់ប្រទេសកម្ពុជា ដើម្បីបង្កើនទំហំសេដ្ឋកិច្ច ពាណិជ្ជកម្ម ការវិនិយោគ ទេសចរណ៍ វប្បធម៌ និងអប់រំ ផងដែរ។
9,"In response, His Excellency Ambassador expressed his deep gratitude to His Excellency Senate President for hosting the working lunch and welcomed Malaysian investors from Sarawak and Sabah to explore investment opportunities in Cambodia.",ជាកិច្ចឆ្លើយតប ឯកឧត្តមឯកអគ្គរាជទូត បានថ្លែងអំណរគុណយ៉ាងជ្រាវជ្រៅចំពោះ ឯកឧត្តមប្រធានព្រឹទ្ធសភា សម្រាប់ការទទួលស្វាគមន៍នៃការទទួលទានអាហារការងារថ្ងៃត្រង់ដ៏មានសារៈសំខាន់នេះ និងស្វាគមន៍វិនិយោគគិនម៉ាឡេស៊ីទាំងអស់ ក្នុងការពិនិត្យសិក្សានិងស្វែងរកកាលានុវត្តភាពដើម្បីវិនិយោគនៅកម្ពុជានាពេលខាងមុខ។
10,"(Phnom Penh): On the morning of Tuesday, 17 December 2024, at the Ministry of Commerce, His Excellency VA Rothsan, Secretary of State of the Ministry of Commerce, received a courtesy call from representatives of the EU-German GATE project and the EU-German CAPSAFE project to discuss the preparation of a national pepper policy/strategy.",(ភ្នំពេញ)៖ នាព្រឹកថ្ងៃអង្គារ ទី១៧ ខែធ្នូ ឆ្នាំ២០២៤ នៅទីស្តីការក្រសួងពាណិជ្ជកម្ម ឯកឧត្តម វ៉ា រុតសាន រដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម បានទទួលជួបពិភាក្សាការងារលើកទី១ ជាមួយតំណាងគម្រោង EU-German GATE និង EU-German CAPSAFE ដើម្បីពិភាក្សាលើការត្រៀមរៀបចំឯកសារយុទ្ធសាស្ត្រ ឬគោលនយោបាយម្រេចកម្ពុជា។
